Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,PSH Flag Count,ACK Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Subflow Fwd Bytes,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Total TCP Flow Time,Label
10.16.0.2-144.122.71.18-56194-6642-6,10.16.0.2,56194,144.122.71.18,6642,6,42:40.1,7773,12,8,474,16238,207,39.5,71.14198351,6740,2029.75,2969.197378,2150006.433,2573.009134,409.1052632,509.0821692,1930,8,7773,706.6363636,546.1383108,1930,270,6797,971,1042.063978,3001,10,4,6,392,264,1543.805481,1029.203654,6740,835.6,2061.959477,4251676.884,0,2,10,19,0.666666667,835.6,39.5,2029.75,23,811,65280,504,4,32,7773,0
100.64.0.2-10.16.0.15-40346-1880-6,100.64.0.2,40346,10.16.0.15,1880,6,04:25.9,2831,46,45,421,1142215,421,9.152173913,62.07306354,64704,25382.55556,28025.74578,403615683.5,32144.11869,31.45555556,115.616779,1073,1,2831,62.91111111,161.852742,1089,4,2783,63.25,162.1333251,1073,3,1,42,1480,1448,16248.67538,15895.44331,64704,12556.43956,23381.98258,546717109.3,2,2,43,90,0.97826087,12556.43956,9.152173913,25382.55556,4,12551,64240,503,1,32,2831,1
10.16.0.5-144.122.71.18-34528-6443-6,10.16.0.5,34528,144.122.71.18,6443,6,01:27.9,53248062,5,4,116,89,116,23.2,51.87677708,58,22.25,27.95681193,3.849905373,0.169020236,6656007.75,12575702.28,31404230,13,53248049,13312012.25,15839211.5,31404230,63,53248043,17749347.67,16109652.94,31447255,1017,1,2,160,128,0.093900131,0.075120105,116,22.77777778,40.48387882,1638.944444,0,0,3,9,0.8,22.77777778,23.2,22.25,12,9,908,502,1,32,53248062,1
100.64.0.2-10.16.0.7-37086-7472-6,100.64.0.2,37086,10.16.0.7,7472,6,11:12.1,628,6,6,108,7410,108,18,44.09081537,4096,1235,1929.168837,11971337.58,19108.28025,57.09090909,98.31526285,340,3,616,123.2,139.7952074,367,26,594,118.8,130.4059048,340,15,1,2,200,200,9554.140127,9554.140127,4096,626.5,1447.927955,2096495.364,2,2,3,11,1,626.5,18,1235,9,617,65280,505,1,32,628,0
100.64.0.2-10.16.0.15-59690-1880-6,100.64.0.2,59690,10.16.0.15,1880,6,04:06.5,1999,37,35,398,896971,398,10.75675676,65.43079695,64704,25627.74286,27886.72715,448908954.5,36018.009,28.15492958,75.63061509,603,2,1999,55.52777778,103.2880815,615,5,1979,58.20588235,103.3630786,603,5,1,32,1192,1128,18509.25463,17508.75438,64704,12463.45833,23208.77206,538647100.6,2,2,33,71,0.945945946,12463.45833,10.75675676,25627.74286,5,12457,64240,503,1,32,1999,1
10.16.0.2-144.122.71.18-50214-6642-6,10.16.0.2,50214,144.122.71.18,6642,6,01:18.4,5766,15,10,474,16238,207,31.6,65.14686704,6740,1623.8,2754.889544,2898369.754,4335.76136,240.25,304.4073715,1117,3,5766,411.8571429,398.9136897,1241,3,5109,567.6666667,528.3502626,1533,11,4,6,488,328,2601.456816,1734.304544,6740,668.48,1866.087376,3482282.093,2,2,10,24,0.666666667,668.48,31.6,1623.8,18,649,65280,503,4,32,5766,1
100.64.0.2-10.16.0.4-59832-8181-6,100.64.0.2,59832,10.16.0.4,8181,6,19:38.7,275,5,5,106,137,106,21.2,47.40464112,137,27.4,61.26826258,883636.3636,36363.63636,30.55555556,29.77461633,100,7,259,64.75,29.84822719,100,27,255,63.75,40.90130397,121,27,1,1,168,168,18181.81818,18181.81818,137,24.3,51.74735635,2677.788889,2,2,2,9,1,24.3,21.2,27.4,10,13,65280,505,1,32,275,0
10.16.0.6-144.122.71.18-48426-6642-6,10.16.0.6,48426,144.122.71.18,6642,6,57:27.6,982,12,10,528,21217,261,44,83.35902634,6740,2121.7,2952.952084,22143584.52,22403.25866,46.76190476,74.71740411,312,4,982,89.27272727,97.07429207,312,7,954,106,120.7238585,382,8,4,6,392,328,12219.95927,10183.29939,6740,988.4090909,2204.996008,4862007.396,2,2,10,21,0.833333333,988.4090909,44,2121.7,24,964,65280,503,4,32,982,1
100.64.0.2-10.16.0.15-39854-1880-6,100.64.0.2,39854,10.16.0.15,1880,6,06:38.0,470,6,5,366,456,366,61,149.4188743,456,91.2,203.9293995,1748936.17,23404.25532,47,115.0429871,373,3,466,93.2,162.9699359,384,12,459,114.75,173.1653834,373,10,1,1,200,168,12765.95745,10638.29787,456,74.72727273,167.4712458,28046.61818,2,2,2,10,0.833333333,74.72727273,61,91.2,33,41,64240,503,1,32,470,1
100.64.0.2-10.16.0.18-40430-3000-6,100.64.0.2,40430,10.16.0.18,3000,6,12:30.3,610,6,5,470,180,470,78.33333333,191.8766965,180,36,80.49844719,1065573.77,18032.78689,61,153.0039941,496,5,610,122,218.7064242,513,14,584,146,233.5537055,496,15,1,1,200,168,9836.065574,8196.721311,470,59.09090909,146.5915786,21489.09091,2,2,2,10,0.833333333,59.09090909,78.33333333,36,42,16,64240,502,1,32,610,0
100.64.0.2-10.16.0.15-60724-1880-6,100.64.0.2,60724,10.16.0.15,1880,6,04:12.3,511,6,4,397,929,397,66.16666667,162.0745713,929,232.25,464.5,2594911.937,19569.47162,56.77777778,114.8779546,349,3,511,102.2,150.0723159,358,8,496,165.3333333,169.4766454,349,15,1,1,200,136,11741.68297,7827.78865,929,132.6,306.3807363,93869.15556,2,2,2,9,0.666666667,132.6,66.16666667,232.25,39,92,64240,503,1,32,511,1
100.64.0.2-10.16.0.5-45416-8181-6,100.64.0.2,45416,10.16.0.5,8181,6,32:27.5,374,6,5,106,137,106,17.66666667,43.27431879,137,27.4,61.26826258,649732.6203,29411.76471,37.4,39.18106118,130,4,374,74.8,42.05591516,130,17,320,80,56.82722352,162,34,1,1,200,168,16042.78075,13368.98396,137,22.09090909,49.63558108,2463.690909,2,2,2,10,0.833333333,22.09090909,17.66666667,27.4,9,12,65280,505,1,32,374,0
10.16.0.6-144.122.71.18-39300-6642-6,10.16.0.6,39300,144.122.71.18,6642,6,49:11.1,783,10,9,474,16238,207,47.4,75.95934585,6740,1804.222222,2858.650284,21343550.45,24265.64496,43.5,70.60265784,306,4,783,87,95.38343672,306,7,711,88.875,118.1650631,365,8,4,6,328,296,12771.39208,11494.25287,6740,879.5789474,2108.802776,4447049.146,0,2,10,18,0.9,879.5789474,47.4,1804.222222,24,854,65280,503,4,32,783,1
100.64.0.2-10.16.0.15-41062-1880-6,100.64.0.2,41062,10.16.0.15,1880,6,06:41.3,518,6,4,338,1922,338,56.33333333,137.9879222,1922,480.5,961,4362934.363,19305.01931,57.55555556,133.3980051,412,4,518,103.6,179.0706564,423,12,500,166.6666667,213.6008739,412,22,1,1,200,136,11583.01158,7722.007722,1922,226,605.306901,366396.4444,2,2,2,9,0.666666667,226,56.33333333,480.5,33,192,64240,503,1,32,518,1
10.16.0.6-144.122.71.18-46792-6642-6,10.16.0.6,46792,144.122.71.18,6642,6,13:31.5,1339,10,9,474,16238,207,47.4,75.95934585,6740,1804.222222,2858.650284,12480955.94,14189.6938,74.38888889,139.1170218,550,3,1339,148.7777778,186.2483408,572,7,1252,156.5,204.8727828,550,7,4,6,328,296,7468.259895,6721.433906,6740,879.5789474,2108.802776,4447049.146,0,2,10,18,0.9,879.5789474,47.4,1804.222222,24,854,65280,503,4,32,1339,1
100.64.0.2-10.16.0.45-39468-1880-6,100.64.0.2,39468,10.16.0.45,1880,6,18:44.1,846,6,4,448,249,448,74.66666667,182.8952341,249,62.25,124.5,823877.0686,11820.33097,94,194.6111508,610,6,846,169.2,257.6134701,629,30,783,261,304.3205547,610,51,1,1,200,136,7092.198582,4728.132388,448,69.7,154.2451512,23791.56667,2,2,2,9,0.666666667,69.7,74.66666667,62.25,44,24,64240,502,1,32,846,0
10.16.0.18-34.120.177.193-52100-443-6,10.16.0.18,52100,34.120.177.193,443,6,50:13.1,90351198,22,22,762,4816,184,34.63636364,49.23272765,1348,218.9090909,416.3474864,61.73686817,0.486988562,2101190.651,7728524.346,31465981,1,90351198,4302438,10768327.93,31518102,1,90298530,4299930,10769367.17,31517899,6,10,10,712,712,0.243494281,0.243494281,1348,126.7727273,307.4528411,94527.24947,2,2,20,43,1,126.7727273,34.63636364,218.9090909,17,109,65280,261,10,32,90351198,0
100.64.0.2-10.16.0.45-38184-1880-6,100.64.0.2,38184,10.16.0.45,1880,6,13:25.5,494,6,5,458,246,458,76.33333333,186.977717,246,49.2,110.0145445,1425101.215,22267.20648,49.4,115.9733686,377,4,494,98.8,163.2917634,389,13,475,118.75,173.29623,377,14,1,1,200,168,12145.74899,10121.45749,458,64,150.0746481,22522.4,2,2,2,10,0.833333333,64,76.33333333,49.2,41,22,64240,502,1,32,494,0
100.64.0.2-10.16.0.15-33856-1880-6,100.64.0.2,33856,10.16.0.15,1880,6,04:50.8,463,6,4,412,609,412,68.66666667,168.1982957,609,152.25,304.5,2205183.585,21598.27214,51.44444444,119.5137138,368,3,463,92.6,160.6667358,378,8,449,149.6666667,190.7939552,368,15,1,1,200,136,12958.96328,8639.308855,609,102.1,220.1971087,48486.76667,2,2,2,9,0.666666667,102.1,68.66666667,152.25,41,60,64240,503,1,32,463,1
100.64.0.2-10.16.0.15-53794-1880-6,100.64.0.2,53794,10.16.0.15,1880,6,06:25.6,633,6,5,332,461,332,55.33333333,135.5384324,461,92.2,206.1654675,1252764.613,17377.56714,63.3,168.3442571,541,0,633,126.6,238.0394925,551,8,625,156.25,257.1087643,541,15,1,1,200,168,9478.672986,7898.894155,461,72.09090909,162.9653058,26557.69091,2,2,2,10,0.833333333,72.09090909,55.33333333,92.2,30,41,64240,503,1,32,633,1
100.64.0.2-10.16.0.4-33938-8181-6,100.64.0.2,33938,10.16.0.4,8181,6,39:59.1,871,6,5,106,137,106,17.66666667,43.27431879,137,27.4,61.26826258,278989.667,12629.16188,87.1,75.29268815,244,13,871,174.2,73.48945503,244,61,741,185.25,134.1252524,359,49,1,1,200,168,6888.633754,5740.528129,137,22.09090909,49.63558108,2463.690909,2,2,2,10,0.833333333,22.09090909,17.66666667,27.4,9,12,65280,505,1,32,871,1
100.64.0.2-10.16.0.45-33946-1880-6,100.64.0.2,33946,10.16.0.45,1880,6,24:24.1,319,6,4,428,160,428,71.33333333,174.7302683,160,40,80,1843260.188,31347.96238,35.44444444,74.74976774,234,4,319,63.8,100.9341369,244,13,303,101,115.6589815,234,24,1,1,200,136,18808.77743,12539.18495,428,58.8,139.1280785,19356.62222,2,2,2,9,0.666666667,58.8,71.33333333,40,42,16,64240,503,1,32,319,0
10.16.0.6-144.122.71.18-34144-6642-6,10.16.0.6,34144,144.122.71.18,6642,6,44:24.6,1334,12,10,528,21205,261,44,83.35902634,6740,2120.5,2951.481144,16291604.2,16491.75412,63.52380952,126.1882003,538,5,1334,121.2727273,162.6936329,538,10,1311,145.6666667,196.0255085,604,8,4,6,392,328,8995.502249,7496.251874,6740,987.8636364,2203.858074,4856990.409,2,2,10,21,0.833333333,987.8636364,44,2120.5,24,963,65280,503,4,32,1334,0
100.64.0.2-10.16.0.15-57518-1880-6,100.64.0.2,57518,10.16.0.15,1880,6,06:29.9,250,6,4,345,223,345,57.5,140.8456602,223,55.75,111.5,2272000,40000,27.77777778,39.51827988,128,6,250,50,54.90446248,145,15,235,78.33333333,45.39089483,128,39,1,1,200,136,24000,16000,345,56.8,123.149232,15165.73333,2,2,2,9,0.666666667,56.8,57.5,55.75,34,22,64240,503,1,32,250,1
100.64.0.2-10.16.0.18-38518-3000-6,100.64.0.2,38518,10.16.0.18,3000,6,33:46.7,797,5,5,448,1656,448,89.6,200.3516908,1656,331.2,740.5857141,2639899.624,12547.05144,88.55555556,211.1315414,651,5,786,196.5,313.8890462,667,23,762,190.5,307.0206291,651,32,1,1,168,168,6273.525721,6273.525721,1656,210.4,527.084054,277817.6,2,2,2,9,1,210.4,89.6,331.2,44,165,64240,502,1,32,797,0
100.64.0.2-10.16.0.15-54756-1880-6,100.64.0.2,54756,10.16.0.15,1880,6,06:26.3,513,6,5,338,467,338,56.33333333,137.9879222,467,93.4,208.8487491,1569200.78,21442.49513,51.3,130.2536415,421,5,508,101.6,187.8318397,437,9,504,126,197.4183375,421,10,1,1,200,168,11695.90643,9746.588694,467,73.18181818,165.3546602,27342.16364,2,2,2,10,0.833333333,73.18181818,56.33333333,93.4,30,42,64240,503,1,32,513,1
100.64.0.2-10.16.0.18-47216-3000-6,100.64.0.2,47216,10.16.0.18,3000,6,03:49.8,599,6,5,447,1731,447,74.5,182.4869858,1731,346.2,774.1267338,3636060.1,18363.9399,59.9,168.0479098,538,2,599,119.8,241.086499,551,8,588,147,260.7949386,538,7,1,1,200,168,10016.69449,8347.245409,1731,198,525.8256365,276492.6,2,2,2,10,0.833333333,198,74.5,346.2,40,157,64240,503,1,32,599,0
100.64.0.2-10.16.0.15-60090-1880-6,100.64.0.2,60090,10.16.0.15,1880,6,04:10.0,383,6,4,358,511,358,59.66666667,146.152888,511,127.75,255.5,2268929.504,26109.66057,42.55555556,82.8765816,261,4,383,76.6,110.4142201,273,12,362,120.6666667,124.8292167,261,22,1,1,200,136,15665.79634,10443.86423,511,86.9,186.7169278,34863.21111,2,2,2,9,0.666666667,86.9,59.66666667,127.75,35,51,64240,503,1,32,383,1
100.64.0.2-10.16.0.18-55596-3000-6,100.64.0.2,55596,10.16.0.18,3000,6,43:52.9,898,5,5,533,180,533,106.6,238.3648464,180,36,80.49844719,793986.637,11135.85746,99.77777778,245.2232543,753,4,885,221.25,364.3252896,767,18,870,217.5,357.1596282,753,30,1,1,168,168,5567.928731,5567.928731,533,71.3,171.8048311,29516.9,2,2,2,9,1,71.3,106.6,36,53,18,64240,502,1,32,898,0
100.64.0.2-10.16.0.18-35396-3000-6,100.64.0.2,35396,10.16.0.18,3000,6,48:21.2,463,6,5,468,240,468,78,191.0601999,240,48,107.3312629,1529157.667,23758.09935,46.3,121.2234392,391,2,459,91.8,174.0336174,403,6,450,112.5,185.8538853,391,8,1,1,200,168,12958.96328,10799.13607,468,64.36363636,152.0047846,23105.45455,2,2,2,10,0.833333333,64.36363636,78,48,42,21,64240,502,1,32,463,0
100.64.0.2-10.16.0.4-37084-8181-6,100.64.0.2,37084,10.16.0.4,8181,6,04:38.7,292,5,5,106,137,106,21.2,47.40464112,137,27.4,61.26826258,832191.7808,34246.57534,32.44444444,34.1691056,109,6,279,69.75,32.67389376,109,29,271,67.75,43.50766216,127,23,1,1,168,168,17123.28767,17123.28767,137,24.3,51.74735635,2677.788889,2,2,2,9,1,24.3,21.2,27.4,10,13,65280,505,1,32,292,1
100.64.0.2-10.16.0.15-59744-1880-6,100.64.0.2,59744,10.16.0.15,1880,6,04:06.7,597,6,4,375,1133,375,62.5,153.0931089,1133,283.25,566.5,2525963.149,16750.41876,66.33333333,142.911686,444,4,597,119.4,189.3826814,456,12,575,191.6666667,222.8145716,444,22,1,1,200,136,10050.25126,6700.167504,1133,150.8,364.6775745,132989.7333,2,2,2,9,0.666666667,150.8,62.5,283.25,37,113,64240,503,1,32,597,1
100.64.0.2-10.16.0.15-51640-1880-6,100.64.0.2,51640,10.16.0.15,1880,6,06:24.1,816,6,4,320,449,320,53.33333333,130.6394529,449,112.25,224.5,942401.9608,12254.90196,90.66666667,235.6268236,718,3,816,163.2,315.6140048,727,11,804,268,390.2768248,718,22,1,1,200,136,7352.941176,4901.960784,449,76.9,164.9460855,27207.21111,2,2,2,9,0.666666667,76.9,53.33333333,112.25,32,44,64240,503,1,32,816,1
100.64.0.2-10.16.0.15-53240-1880-6,100.64.0.2,53240,10.16.0.15,1880,6,06:25.2,482,6,4,340,469,340,56.66666667,138.8044188,469,117.25,234.5,1678423.237,20746.88797,53.55555556,113.4185954,351,3,482,96.4,150.8734569,362,10,463,154.3333333,174.0813986,351,20,1,1,200,136,12448.13278,8298.755187,469,80.9,173.2412897,30012.54444,2,2,2,9,0.666666667,80.9,56.66666667,117.25,34,46,64240,503,1,32,482,1
100.64.0.2-10.16.0.5-40354-8181-6,100.64.0.2,40354,10.16.0.5,8181,6,23:07.5,319,5,5,106,137,106,21.2,47.40464112,137,27.4,61.26826258,761755.4859,31347.96238,35.44444444,34.51851355,109,7,293,73.25,36.80919269,109,41,286,71.5,46.80099714,135,29,1,1,168,168,15673.98119,15673.98119,137,24.3,51.74735635,2677.788889,2,2,2,9,1,24.3,21.2,27.4,10,13,65280,505,1,32,319,0
100.64.0.2-10.16.0.15-39460-1880-6,100.64.0.2,39460,10.16.0.15,1880,6,06:37.4,773,9,7,378,31299,378,42,126,13480,4471.285714,5024.038041,40979301.42,20698.57697,51.53333333,147.3905728,580,2,773,96.625,202.0395559,593,8,754,125.6666667,226.0289067,580,8,1,4,296,232,11642.94955,9055.627426,13480,1979.8125,3905.729846,15254725.63,2,2,5,15,0.777777778,1979.8125,42,4471.285714,23,1956,64240,503,1,32,773,1
100.64.0.2-10.16.0.4-50632-8080-6,100.64.0.2,50632,10.16.0.4,8080,6,41:01.0,253,5,5,107,137,107,21.4,47.85185472,137,27.4,61.26826258,964426.8775,39525.6917,28.11111111,28.89396323,98,6,240,60,29.48445918,98,26,234,58.5,41.1703777,118,25,1,1,168,168,19762.84585,19762.84585,137,24.4,51.92344793,2696.044444,2,2,2,9,1,24.4,21.4,27.4,10,13,65280,505,1,32,253,0
